เลขกลุ่มสาระ, ชื่อกลุ่มสาระ, เลขสาระ,ชื่อสาระ,หมวดมาตรฐาน,เลขมาตรฐาน,ชื่อมาตรฐาน,กลุ่มที่, เลขตัวชี้วัดระหว่างทาง, รายละเอียดตัวชี้วัดนะหว่างทาง,เลขตัวชี้วัดปลายทาง,รายละเอียดตัวชี้วัดปลายทาง
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ),1,ภาษาเพื่อการสื่อสาร,ต 1,ต 1.1,1.1 เข้าใจและตีความเรื่องที่ฟังและอ่านจากสื่อประเภทต่าง ๆ และแสดงความคิดเห็น อย่างมีเหตุผล,1,ต 2.2 ป.1/1 ,ระบุตัวอักษรและเสียงตัวอักษรของ ภาษาต่างประเทศและภาษาไทย,ต 1.1 ป.1/2 ,ระบุตัวอักษร และเสียง อ่านออกเสียง และสะกดคํา ง่าย ๆ ถูกต้อง ตามหลักการอ่าน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ),1,ภาษาเพื่อการสื่อสาร,ต 1,ต 1.1,1.1 เข้าใจและตีความเรื่องที่ฟังและอ่านจากสื่อประเภทต่าง ๆ และแสดงความคิดเห็น อย่างมีเหตุผล,2,ต 1.1 ป.1/3 ,เลือกภาพตรงตามความหมายของคําและ กลุ่มคําที่ฟัง,ต 1.1 ป.1/4 ,ตอบคําถามจากการ ฟังเรื่องใกล้ตัว
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ),1,ภาษาเพื่อการสื่อสาร,ต 1,ต 1.2,1.2 มีทักษะการสื่อสารทางภาษาในการแลกเปลี่ยนข้อมูลข่าวสาร แสดงความรู้สึกและ ความคิดเห็นอย่างมีประสิทธิภาพ,3,ต 1.2 ป.1/3 ,บอกความต้องการง่าย ๆ ของตนเอง ตามแบบที่ฟัง,ต 1.3 ป.1/1 ,พูดให้ข้อมูลเกี่ยวกับ ตนเองและเรื่องใกล้ตัว
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ),1,ภาษาเพื่อการสื่อสาร,ต 1,ต 1.3,1.3 นําเสนอข้อมูลข่าวสาร ความคิดรวบยอด และความคิดเห็นในเรื่องต่าง ๆ โดยการพูด และการเขียน,3,ต 1.2 ป.1/4 ,พูดขอและให้ข้อมูลง่าย ๆ เกี่ยวกับตนเอง ตามแบบที่ฟัง,ต 1.3 ป.1/1 ,พูดให้ข้อมูลเกี่ยวกับ ตนเองและเรื่องใกล้ตัว
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ),2,ภาษาและวัฒนธรรม,ต 2,ต 2.1,2.1 เข้าใจความสัมพันธ์ระหว่างภาษากับวัฒนธรรมของเจ้าของภาษา และนําไปใช้ได้ อย่างเหมาะสมกับกาลเทศะ,4,ต 2.1 ป.1/1 ,พูดและทําท่าประกอบตามวัฒนธรรมของ เจ้าของภาษา,ต 2.1 ป.1/3 ,เข้าร่วมกิจกรรม ทางภาษาและวัฒนธรรมที่ เหมาะกับวัย
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ),2,ภาษาและวัฒนธรรม,ต 2,ต 2.1,2.1 เข้าใจความสัมพันธ์ระหว่างภาษากับวัฒนธรรมของเจ้าของภาษา และนําไปใช้ได้ อย่างเหมาะสมกับกาลเทศะ,4,ต 2.1 ป.1/2 ,บอกชื่อและคําศัพท์เกี่ยวกับเทศกาลสําคัญ ของเจ้าของภาษา,ต 2.1 ป.1/3 ,เข้าร่วมกิจกรรม ทางภาษาและวัฒนธรรมที่ เหมาะกับวัย
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ),4,ภาษากับความสัมพันธ์กับชุมชนและโลก,ต 1,ต 1.1,1.1 เข้าใจและตีความเรื่องที่ฟังและอ่านจากสื่อประเภทต่าง ๆ และแสดงความคิดเห็น อย่างมีเหตุผล,5,ต 1.1 ป.1/1 ,ปฏิบัติตามคําสั่งง่าย ๆ ที่ฟัง,ต 4.1 ป.1/1 ,ฟัง/พูด ในสถานการณ์ง่าย ๆ ที่เกิดขึ้น ในห้องเรียน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ),4,ภาษากับความสัมพันธ์กับชุมชนและโลก,ต 1,ต 1.2,1.2 มีทักษะการสื่อสารทางภาษาในการแลกเปลี่ยนข้อมูลข่าวสาร แสดงความรู้สึกและ ความคิดเห็นอย่างมีประสิทธิภาพ,5,ต 1.2 ป.1/1 ,พูดโต้ตอบด้วยคําสั้น ๆ ง่าย ๆ ในการสื่อสาร ระหว่างบุคคลตามแบบที่ฟัง,ต 4.1 ป.1/1 ,ฟัง/พูด ในสถานการณ์ง่าย ๆ ที่เกิดขึ้น ในห้องเรียน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ),4,ภาษากับความสัมพันธ์กับชุมชนและโลก,ต 4,ต 4.1,4.1 ใช้ภาษาต่างประเทศในสถานการณ์ต่าง ๆ ทั้งในสถานศึกษา ชุมชน และสังคม,5,ต 1.2 ป.1/2 ,ใช้คําสั่งง่าย ๆ ตามแบบที่ฟัง,ต 4.1 ป.1/1 ,ฟัง/พูด ในสถานการณ์ง่าย ๆ ที่เกิดขึ้น ในห้องเรียน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้ภาษาต่างประเทศ (ภาษาอังกฤษ),4,ภาษากับความสัมพันธ์กับชุมชนและโลก,ต 3,ต 3.1,3.1 ใช้ภาษาต่างประเทศในการเชื่อมโยงความรู้กับกลุ่มสาระการเรียนรู้อื่น และเป็นพื้นฐาน ในการพัฒนา แสวงหาความรู้ และเปิดโลกทัศน์ของตน,6,ต 3.1 ป.1/1 ,บอกคําศัพท์ที่เกี่ยวข้องกับกลุ่มสาระการเรียนรู้อื่น,ต 4.2 ป.1/1 ,ใช้ภาษาต่างประเทศเพื่อรวบรวมคําศัพท์ที่เกี่ยวข้องใกล้ตัว
