เลขกลุ่มสาระ, ชื่อกลุ่มสาระ, เลขสาระ,ชื่อสาระ,หมวดมาตรฐาน,เลขมาตรฐาน,ชื่อมาตรฐาน,กลุ่มที่, เลขตัวชี้วัดระหว่างทาง, รายละเอียดตัวชี้วัดนะหว่างทาง,เลขตัวชี้วัดปลายทาง,รายละเอียดตัวชี้วัดปลายทาง
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้สุขศึกษาและพลศึกษา,1,การเจริญเติบโตและพัฒนาการของมนุษย์,พ 1,พ 1.1,1.1 เข้าใจธรรมชาติของการเจริญเติบโตและพัฒนาการของมนุษย์,1,พ 1.1 ป.1/1 ,อธิบายลักษณะและหน้าที่ของอวัยวะภายนอก,พ 1.1 ป.1/2 ,อธิบายวิธีดูแลรักษา อวัยวะภายนอก
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้สุขศึกษาและพลศึกษา,2,ชีวิตและครอบครัว,พ 2,พ 2.1,2.1 เข้าใจและเห็นคุณค่าตนเอง ครอบครัว เพศศึกษา และมีทักษะในการดำเนินชีวิต,2,พ 2.1 ป.1/1 ,ระบุสมาชิกในครอบครัวและความรักความผูกพันของสมาชิกที่มีต่อกัน ,พ 2.1 ป.1/2 ,บอกสิ่งที่ชื่นชอบ และภาคภูมิใจในตนเอง
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้สุขศึกษาและพลศึกษา,2,ชีวิตและครอบครัว,พ 2,พ 2.1,2.1 เข้าใจและเห็นคุณค่าตนเอง ครอบครัว เพศศึกษา และมีทักษะในการดำเนินชีวิต,2,พ 2.1 ป.1/3,บอกลักษณะความแตกต่างระหว่างเพศชาย และเพศหญิง,พ 2.1 ป.1/2 ,บอกสิ่งที่ชื่นชอบ และภาคภูมิใจในตนเอง
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้สุขศึกษาและพลศึกษา,3,สถิติและความน่าการเคลื่อนไหว การออกกําลังกาย การเล่นเกม กีฬาไทย และกีฬาสากลจะเป็น,พ 3,พ 3.1,3.1 เข้าใจ มีทักษะในการเคลื่อนไหว กิจกรรมทางกาย การเล่นเกม และกีฬา,3,พ 3.1 ป.1/1 ,เคลื่อนไหวร่างกายขณะอยู่กับที่ เคลื่อนที่ และใช้อุปกรณ์ประกอบ,พ 3.1 ป.1/2,เล่นเกมเบ็ดเตล็ดและเข้าร่วมกิจกรรมทางกายที่ใช้การเคลื่อนไหวตามธรรมชาติ
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้สุขศึกษาและพลศึกษา,3,สถิติและความน่าการเคลื่อนไหว การออกกําลังกาย การเล่นเกม กีฬาไทย และกีฬาสากลจะเป็น,พ 3,พ 3.2,3.2 รักการออกกําลังกาย การเล่นเกม และการเล่นกีฬา ปฏิบัติเป็นประจำอย่างสม่ำเสมอ มีวินัย เคารพสิทธิ กฎ กติกา มีน้ำใจนักกีฬา มีจิตวิญญาณในการแข่งขัน และชื่นชม ในสุนทรียภาพของการกีฬา,3,พ 3.2 ป.1/1 ,ออกกําลังกาย และเล่นเกม ตามคําแนะนําอย่างสนุกสนาน,พ 3.1 ป.1/2,เล่นเกมเบ็ดเตล็ดและเข้าร่วมกิจกรรมทางกายที่ใช้การเคลื่อนไหวตามธรรมชาติ
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้สุขศึกษาและพลศึกษา,3,สถิติและความน่าการเคลื่อนไหว การออกกําลังกาย การเล่นเกม กีฬาไทย และกีฬาสากลจะเป็น,พ 3,พ 3.2,3.2 รักการออกกําลังกาย การเล่นเกม และการเล่นกีฬา ปฏิบัติเป็นประจำอย่างสม่ำเสมอ มีวินัย เคารพสิทธิ กฎ กติกา มีน้ำใจนักกีฬา มีจิตวิญญาณในการแข่งขัน และชื่นชม ในสุนทรียภาพของการกีฬา,3,พ 3.2 ป.1/2 ,ปฏิบัติตนตามกฎ กติกา ข้อตกลงในการ เล่นเกมตามคําแนะนํา,พ 3.1 ป.1/2,เล่นเกมเบ็ดเตล็ดและเข้าร่วมกิจกรรมทางกายที่ใช้การเคลื่อนไหวตามธรรมชาติ
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้สุขศึกษาและพลศึกษา,4,การสร้างเสริมสุขภาพ สมรรถภาพ และการป้องกันโรค,พ 4,พ 4.1,4.1 เห็นคุณค่าและมีทักษะในการสร้างเสริมสุขภาพ การดำรงสุขภาพ การป้องกันโรค และการสร้างเสริมสมรรถภาพเพื่อสุขภาพ,4,พ 4.1 ป.1/2 ,บอกอาการเจ็บป่วยที่เกิดขึ้นกับตนเอง,พ 4.1 ป.1/1 ,ปฏิบัติตน ตามหลักสุขบัญญัติแห่งชาติ ตามคําแนะนํา
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้สุขศึกษาและพลศึกษา,4,การสร้างเสริมสุขภาพ สมรรถภาพ และการป้องกันโรค,พ 4,พ 4.1,4.1 เห็นคุณค่าและมีทักษะในการสร้างเสริมสุขภาพ การดำรงสุขภาพ การป้องกันโรค และการสร้างเสริมสมรรถภาพเพื่อสุขภาพ,4,พ 4.1 ป.1/3 ,ปฏิบัติตนตามคําแนะนําเมื่อมีอาการเจ็บป่วย,พ 4.1 ป.1/1 ,ปฏิบัติตน ตามหลักสุขบัญญัติแห่งชาติ ตามคําแนะนํา
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้สุขศึกษาและพลศึกษา,5,ความปลอดภัย,พ 5,พ 5.1,5.1 ป้องกันและหลีกเลี่ยงปัจจัยเสี่ยง พฤติกรรมเสี่ยงต่อสุขภาพ อุบัติเหตุ การใช้ยา สารเสพติด และความรุนแรง,5,พ 5.1 ป.1/1 ,ระบุสิ่งที่ทําให้เกิดอันตรายที่บ้าน โรงเรียน และการป้องกัน,พ 5.1 ป.1/3 ,แสดงคําพูด หรือท่าทางขอความช่วยเหลือ จากผู้อื่นเมื่อเกิดเหตุร้ายที่บ้าน และโรงเรียน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้สุขศึกษาและพลศึกษา,5,ความปลอดภัย,พ 5,พ 5.1,5.1 ป้องกันและหลีกเลี่ยงปัจจัยเสี่ยง พฤติกรรมเสี่ยงต่อสุขภาพ อุบัติเหตุ การใช้ยา สารเสพติด และความรุนแรง,5,พ 5.1 ป.1/2 ,บอกสาเหตุและการป้องกันอันตรายที่เกิดจากการเล่น,พ 5.1 ป.1/3 ,แสดงคําพูด หรือท่าทางขอความช่วยเหลือ จากผู้อื่นเมื่อเกิดเหตุร้ายที่บ้าน และโรงเรียน
