เลขกลุ่มสาระ, ชื่อกลุ่มสาระ, เลขสาระ,ชื่อสาระ,หมวดมาตรฐาน,เลขมาตรฐาน,ชื่อมาตรฐาน,กลุ่มที่, เลขตัวชี้วัดระหว่างทาง, รายละเอียดตัวชี้วัดนะหว่างทาง,เลขตัวชี้วัดปลายทาง,รายละเอียดตัวชี้วัดปลายทาง
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,1,จํานวนและพีชคณิต,ค 1,ค 1.1,1.1 เข้าใจความหลากหลายของการแสดงจํานวน ระบบจํานวน การดําเนินการของจํานวน ผลที่เกิดขึ้น จากการดําเนินการ สมบัติของการดําเนินการ และนําไปใช้,1,ค 1.1 ป.1/1,บอกจํานวนของสิ่งต่าง ๆ แสดงสิ่งต่าง ๆ ตาม จํานวนที่กําหนด อ่านและเขียนตัวเลขฮินดูอารบิก ตัวเลขไทย แสดงจํานวนนับไม่เกิน 100 และ 0,ค 1.1 ป.1/3,เรียงลําดับจํานวนนับ ไม่เกิน 100 และ 0 ตั้งแต่ 3 ถึง 5 จํานวน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,1,จํานวนและพีชคณิต,ค 1,ค 1.1,1.1 เข้าใจความหลากหลายของการแสดงจํานวน ระบบจํานวน การดําเนินการของจํานวน ผลที่เกิดขึ้น จากการดําเนินการ สมบัติของการดําเนินการ และนําไปใช้,1,ค 1.1 ป.1/2,เปรียบเทียบจํานวนนับไม่เกิน 100 และ 0 โดยใช้เครื่องหมาย = ≠ > <,ค 1.1 ป.1/5,แสดงวิธีหาคําตอบ ของโจทย์ปัญหาการบวกและโจทย์ ปัญหาการลบของจํานวนนับไม่เกิน 100 และ 0
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,1,จํานวนและพีชคณิต,ค 1,ค 1.1,1.1 เข้าใจความหลากหลายของการแสดงจํานวน ระบบจํานวน การดําเนินการของจํานวน ผลที่เกิดขึ้น จากการดําเนินการ สมบัติของการดําเนินการ และนําไปใช้,1,ค 1.1 ป.1/4,หาค่าของตัวไม่ทราบค่าในประโยคสัญลักษณ์ แสดงการบวกและประโยคสัญลักษณ์แสดงการลบของจํานวน นับไม่เกิน 100 และ 0,ค 1.1 ป.1/5,แสดงวิธีหาคําตอบ ของโจทย์ปัญหาการบวกและโจทย์ ปัญหาการลบของจํานวนนับไม่เกิน 100 และ 0
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,1,จํานวนและพีชคณิต,ค 1,ค 1.2,1.2 เข้าใจและวิเคราะห์แบบรูป ความสัมพันธ์ ฟังก์ชัน ลําดับและอนุกรม และนําไปใช้,2,-,-,ค 1.2 ป.1/1 ,ระบุจํานวนที่หายไป ในแบบรูปของจํานวนที่เพิ่มขึ้นหรือ ลดลงทีละ 1 และทีละ 10 และ ระบุรูปที่หายไปในแบบรูปซ้ําของ รูปเรขาคณิตและรูปอื่น ๆ ที่ สมาชิกในแต่ละชุดที่ซ้ํามี 2 รูป
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,2,การวัดและเรขาคณิต,ค 2,ค 2.1,2.1 เข้าใจพื้นฐานเกี่ยวกับการวัด วัดและคาดคะเนขนาดของสิ่งที่ต้องการวัด และนําไปใช้,3,-,-,ค 2.1 ป.1/1 ,วัดและเปรียบเทียบ ความยาวเป็นเซนติเมตร เป็นเมตร
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,2,การวัดและเรขาคณิต,ค 2,ค 2.1,2.1 เข้าใจพื้นฐานเกี่ยวกับการวัด วัดและคาดคะเนขนาดของสิ่งที่ต้องการวัด และนําไปใช้,4,-,-,ค 2.1 ป.1/2,วัดและเปรียบเทียบ น้ําหนักเป็นกิโลกรัม เป็นขีด
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,2,การวัดและเรขาคณิต,ค 2,ค 2.2,2.2 เข้าใจและวิเคราะห์รูปเรขาคณิต สมบัติของรูปเรขาคณิต ความสัมพันธ์ระหว่างรูปเรขาคณิต และทฤษฎีบททางเรขาคณิต และนําไปใช้,5,-,-,ค 2.2 ป.1/1 ,จําแนกรูปสามเหลี่ยม รูปสี่เหลี่ยม วงกลม วงรี ทรงสี่เหลี่ยมมุมฉาก ทรงกลม ทรงกระบอก และกรวย
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,3,สถิติและความน่าจะเป็น,ค 3,ค 3.1,3.1 เข้าใจและวิเคราะห์รูปเรขาคณิต สมบัติของรูปเรขาคณิต ความสัมพันธ์ระหว่างรูปเรขาคณิต และทฤษฎีบททางเรขาคณิต และนําไปใช้,6,-,-,ค 3.1 ป.1/1,ใช้ข้อมูลจาก แผนภูมิรูปภาพในการหาคําตอบ ของโจทย์ปัญหา เมื่อกําหนดรูป 1 รูป แทน 1 หน่วย
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,1,จํานวนและพีชคณิต,ค 1,ค 1.1,1.1 เข้าใจความหลากหลายของการแสดงจํานวน ระบบจํานวน การดําเนินการของจํานวน ผลที่เกิดขึ้น จากการดําเนินการ สมบัติของการดําเนินการ และนําไปใช้,1,ค 1.1 ป.2/1,"บอกจํานวนของสิ่งต่าง ๆ แสดงสิ่งต่าง ๆ ตามจํานวนที่กําหนด อ่านและเขียนตัวเลขฮินดูอารบิก ตัวเลขไทยตัวหนังสือแสดงจํานวนนับไม่เกิน 1,000 และ 0",ค 1.1 ป.2/3,"เรียงลําดับจํานวนนับไม่เกิน 1,000 และ 0 ตั้งแต่ 3 ถึง 5 จํานวนจากสถานการณ์ต่าง ๆ"
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,1,จํานวนและพีชคณิต,ค 1,ค 1.1,1.1 เข้าใจความหลากหลายของการแสดงจํานวน ระบบจํานวน การดําเนินการของจํานวน ผลที่เกิดขึ้น จากการดําเนินการ สมบัติของการดําเนินการ และนําไปใช้,1,ค 1.1 ป.2/2,"เปรียบเทียบจํานวนนับไม่เกิน 1,000 และ 0 โดยใช้เครื่องหมาย = ≠ > <",ค 1.1 ป.2/8,"แสดงวิธีหาคําตอบของโจทย์ปัญหา 2 ขั้นตอนของจํานวนนับไม่เกิน 1,000 และ 0"
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,1,จํานวนและพีชคณิต,ค 1,ค 1.1,1.1 เข้าใจความหลากหลายของการแสดงจํานวน ระบบจํานวน การดําเนินการของจํานวน ผลที่เกิดขึ้น จากการดําเนินการ สมบัติของการดําเนินการ และนําไปใช้,1,ค 1.1 ป.2/4,"หาค่าของตัวไม่ทราบค่าในประโยคสัญลักษณ์แสดงการบวกและประโยคสัญลักษณ์แสดงการลบของจํานวนนับไม่เกิน 1,000 และ 0",ค 1.1 ป.2/8,"แสดงวิธีหาคําตอบของโจทย์ปัญหา 2 ขั้นตอนของจํานวนนับไม่เกิน 1,000 และ 0"
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,1,จํานวนและพีชคณิต,ค 1,ค 1.1,1.1 เข้าใจความหลากหลายของการแสดงจํานวน ระบบจํานวน การดําเนินการของจํานวน ผลที่เกิดขึ้น จากการดําเนินการ สมบัติของการดําเนินการ และนําไปใช้,1,ค 1.1 ป.2/5,หาค่าของตัวไม่ทราบค่าในประโยคสัญลักษณ์ แสดงการคูณของจํานวน 1 หลักกับจํานวนไม่เกิน 2 หลัก,ค 1.1 ป.2/8,"แสดงวิธีหาคําตอบของโจทย์ปัญหา 2 ขั้นตอนของจํานวนนับไม่เกิน 1,000 และ 0"
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,1,จํานวนและพีชคณิต,ค 1,ค 1.1,1.1 เข้าใจความหลากหลายของการแสดงจํานวน ระบบจํานวน การดําเนินการของจํานวน ผลที่เกิดขึ้น จากการดําเนินการ สมบัติของการดําเนินการ และนําไปใช้,1,ค 1.1 ป.2/6,หาค่าของตัวไม่ทราบค่าในประโยคสัญลักษณ์ แสดงการหารที่ตัวตั้งไม่เกิน 2 หลัก ตัวหาร 1 หลัก โดยที่ ผลหารมี ๑ หลักทั้งหารลงตัวและหารไม่ลงตัว,ค 1.1 ป.2/8,"แสดงวิธีหาคําตอบของโจทย์ปัญหา 2 ขั้นตอนของจํานวนนับไม่เกิน 1,000 และ 0"
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,1,จํานวนและพีชคณิต,ค 1,ค 1.1,1.1 เข้าใจความหลากหลายของการแสดงจํานวน ระบบจํานวน การดําเนินการของจํานวน ผลที่เกิดขึ้น จากการดําเนินการ สมบัติของการดําเนินการ และนําไปใช้,1,ค 1.1 ป.2/7,"หาผลลัพธ์การบวก ลบ คูณ หารระคน
ของจํานวนนับไม่เกิน 1,000 และ 0",ค 1.1 ป.2/8,"แสดงวิธีหาคําตอบของโจทย์ปัญหา 2 ขั้นตอนของจํานวนนับไม่เกิน 1,000 และ 0"
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,2,จํานวนและพีชคณิต,ค 2,ค 2.1,2.1 เข้าใจพื้นฐานเกี่ยวกับการวัด วัดและคาดคะเนขนาดของสิ่งที่ต้องการวัด และนําไปใช้,2,-,-,ค 2.1 ป.2/1 ,แสดงวิธีหาคําตอบ ของโจทย์ปัญหาเกี่ยวกับเวลาที่มี หน่วยเดี่ยวและเป็นหน่วยเดียวกัน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,2,จํานวนและพีชคณิต,ค 2,ค 2.1,2.1 เข้าใจพื้นฐานเกี่ยวกับการวัด วัดและคาดคะเนขนาดของสิ่งที่ต้องการวัด และนําไปใช้,3,ค 2.1 ป.2/2,วัดและเปรียบเทียบความยาวเป็นเมตรและเซนติเมตร,ค 2.1 ป.2/3,แสดงวิธีหาคําตอบ ของโจทย์ปัญหาการบวก การลบ เกี่ยวกับความยาวที่มีหน่วยเป็นเมตร และเซนติเมตร
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,2,จํานวนและพีชคณิต,ค 2,ค 2.1,2.1 เข้าใจพื้นฐานเกี่ยวกับการวัด วัดและคาดคะเนขนาดของสิ่งที่ต้องการวัด และนําไปใช้,4,ค 2.1 ป.2/4,วัดและเปรียบเทียบน้ําหนัก เป็นกิโลกรัมและกรัม กิโลกรัมและขีด,ค 2.1 ป.2/5,แสดงวิธีหาคําตอบ ของโจทย์ปัญหาการบวก การลบเกี่ยวกับน้ําหนักที่มีหน่วยเป็น กิโลกรัมและกรัม กิโลกรัมและขีด
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,2,จํานวนและพีชคณิต,ค 2,ค 2.1,2.1 เข้าใจพื้นฐานเกี่ยวกับการวัด วัดและคาดคะเนขนาดของสิ่งที่ต้องการวัด และนําไปใช้,5,-,-,ค 2.1 ป.2/6,วัดและเปรียบเทียบปริมาตรและความจุเป็นลิตร
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,2,จํานวนและพีชคณิต,ค 2,ค 2.2,2.2 เข้าใจและวิเคราะห์รูปเรขาคณิต สมบัติของรูปเรขาคณิต ความสัมพันธ์ระหว่างรูปเรขาคณิต และทฤษฎีบททางเรขาคณิต และนําไปใช้,6,-,-,ค 2.2 ป.2/1 ,จําแนกและบอก ลักษณะของรูปหลายเหลี่ยมและ วงกลม
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,3,สถิติและความน่าจะเป็น,ค 3,ค 3.1,3.1 เข้าใจและวิเคราะห์รูปเรขาคณิต สมบัติของรูปเรขาคณิต ความสัมพันธ์ระหว่างรูปเรขาคณิต และทฤษฎีบททางเรขาคณิต และนําไปใช้,7,-,-,ค 3.1 ป.2/1,ใช้ข้อมูลจาก แผนภูมิรูปภาพในการหาคําตอบ ของโจทย์ปัญหาเมื่อกําหนดรูป 1 รูปแทน 2 หน่วย 5 หน่วย หรือ 10 หน่วย
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,1,จํานวนและพีชคณิต,ค 1,ค 1.1,1.1 เข้าใจความหลากหลายของการแสดงจํานวน ระบบจํานวน การดําเนินการของจํานวน ผลที่เกิดขึ้น จากการดําเนินการ สมบัติของการดําเนินการ และนําไปใช้,1,ค 1.1 ป.3/1,"อ่านและเขียน ตัวเลขฮินดูอารบิก ตัวเลขไทย และตัวหนังสือ แสดงจํานวนนับไม่เกิน 100,000 และ 0",ค 1.1 ป.3/2,"เปรียบเทียบและ เรียงลําดับจํานวนนับไม่เกิน 100,000 จากสถานการณ์ต่าง ๆ"
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,1,จํานวนและพีชคณิต,ค 1,ค 1.1,1.1 เข้าใจความหลากหลายของการแสดงจํานวน ระบบจํานวน การดําเนินการของจํานวน ผลที่เกิดขึ้น จากการดําเนินการ สมบัติของการดําเนินการ และนําไปใช้,1,ค 1.1 ป.3/5,"หาค่าของตัวไม่ทราบค่าในประโยคสัญลักษณ์ แสดงการบวกและประโยคสัญลักษณ์แสดงการลบของจํานวนนับ ไม่เกิน 100,000 และ 0",ค 1.1 ป.3/9,"แสดงวิธีหาคําตอบ ของโจทย์ปัญหา 2 ขั้นตอนของ จํานวนนับไม่เกิน 100,000 และ 0"
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,1,จํานวนและพีชคณิต,ค 1,ค 1.1,1.1 เข้าใจความหลากหลายของการแสดงจํานวน ระบบจํานวน การดําเนินการของจํานวน ผลที่เกิดขึ้น จากการดําเนินการ สมบัติของการดําเนินการ และนําไปใช้,1,ค 1.1 ป.3/6,หาค่าของตัวไม่ทราบค่าในประโยคสัญลักษณ์ แสดงการคูณของจํานวน 1 หลักกับจํานวนไม่เกิน 4 หลัก และจํานวน 2 หลักกับจํานวน 2 หลัก,ค 1.1 ป.3/9,"แสดงวิธีหาคําตอบ ของโจทย์ปัญหา 2 ขั้นตอนของ จํานวนนับไม่เกิน 100,000 และ 0"
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,1,จํานวนและพีชคณิต,ค 1,ค 1.1,1.1 เข้าใจความหลากหลายของการแสดงจํานวน ระบบจํานวน การดําเนินการของจํานวน ผลที่เกิดขึ้น จากการดําเนินการ สมบัติของการดําเนินการ และนําไปใช้,1,ค 1.1 ป.3/7,หาค่าของตัวไม่ทราบค่าในประโยคสัญลักษณ์ แสดงการหารที่ตัวตั้งไม่เกิน 4 หลัก ตัวหาร 1 หลัก,ค 1.1 ป.3/9,"แสดงวิธีหาคําตอบ ของโจทย์ปัญหา 2 ขั้นตอนของ จํานวนนับไม่เกิน 100,000 และ 0"
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,1,จํานวนและพีชคณิต,ค 1,ค 1.1,1.1 เข้าใจความหลากหลายของการแสดงจํานวน ระบบจํานวน การดําเนินการของจํานวน ผลที่เกิดขึ้น จากการดําเนินการ สมบัติของการดําเนินการ และนําไปใช้,1,ค 1.1 ป.3/8,"หาผลลัพธ์การบวก ลบ คูณ หารระคนของ จํานวนนับไม่เกิน 100,000 และ 0",ค 1.1 ป.3/9,"แสดงวิธีหาคําตอบ ของโจทย์ปัญหา 2 ขั้นตอนของ จํานวนนับไม่เกิน 100,000 และ 0"
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,1,จํานวนและพีชคณิต,ค 1,ค 1.1,1.1 เข้าใจความหลากหลายของการแสดงจํานวน ระบบจํานวน การดําเนินการของจํานวน ผลที่เกิดขึ้น จากการดําเนินการ สมบัติของการดําเนินการ และนําไปใช้,2,ค 1.1 ป.3/3,บอก อ่าน และเขียนเศษส่วนแสดงปริมาณ สิ่งต่าง ๆ และแสดงสิ่งต่าง ๆตามเศษส่วนที่กําหนด,ค 1.1 ป.3/4,เปรียบเทียบเศษส่วนที่ตัวเศษเท่ากันโดยที่ตัวเศษน้อยกว่าหรือเท่ากับตัวส่วน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,1,จํานวนและพีชคณิต,ค 1,ค 1.1,1.1 เข้าใจความหลากหลายของการแสดงจํานวน ระบบจํานวน การดําเนินการของจํานวน ผลที่เกิดขึ้น จากการดําเนินการ สมบัติของการดําเนินการ และนําไปใช้,2,ค 1.1 ป.3/10,หาผลบวกของเศษส่วนที่มีตัวส่วนเท่ากันและ ผลบวกไม่เกิน 1 และหาผลลบของเศษส่วนที่มีตัวส่วนเท่ากัน,ค 1.1 ป.3/11,แสดงวิธีหาคําตอบ ของโจทย์ปัญหาการบวกเศษส่วน ที่มีตัวส่วนเท่ากันและผลบวกไม่เกิน 1 และโจทย์ปัญหาการลบเศษส่วน ที่มีตัวส่วนเท่ากัน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,1,จํานวนและพีชคณิต,ค 1,ค 1.1,1.1 เข้าใจความหลากหลายของการแสดงจํานวน ระบบจํานวน การดําเนินการของจํานวน ผลที่เกิดขึ้น จากการดําเนินการ สมบัติของการดําเนินการ และนําไปใช้,3,-,-,ค 1.2 ป.3/1,ระบุจํานวนที่หายไป ในแบบรูปของจํานวนที่เพิ่มขึ้นหรือ ลดลงทีละเท่า ๆ กัน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,2,การวัดและเรขาคณิต,ค 2,ค 2.1,2.1 เข้าใจพื้นฐานเกี่ยวกับการวัด วัดและคาดคะเนขนาดของสิ่งที่ต้องการวัด และนําไปใช้,4,-,-,ค 2.1 ป.3/1 ,แสดงวิธีหาคําตอบ ของโจทย์ปัญหาเกี่ยวกับเงิน
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,2,การวัดและเรขาคณิต,ค 2,ค 2.1,2.1 เข้าใจพื้นฐานเกี่ยวกับการวัด วัดและคาดคะเนขนาดของสิ่งที่ต้องการวัด และนําไปใช้,5,-,-,ค 2.1 ป.3/2,แสดงวิธีหาคําตอบ ของโจทย์ปัญหาเกี่ยวกับเวลา และ ระยะเวลา
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,2,การวัดและเรขาคณิต,ค 2,ค 2.1,2.1 เข้าใจพื้นฐานเกี่ยวกับการวัด วัดและคาดคะเนขนาดของสิ่งที่ต้องการวัด และนําไปใช้,6,ค 2.1 ป.3/3,เลือกใช้เครื่องวัดความยาวที่เหมาะสมวัดและ บอกความยาวของสิ่งต่าง ๆ เป็นเซนติเมตรและมิลลิเมตร เมตรและเซนติเมตร,ค 2.1 ป.3/6,แสดงวิธีหาคําตอบ ของโจทย์ปัญหาเกี่ยวกับความยาว ที่มีหน่วยเป็นเซนติเมตรและ มิลลิเมตร เมตรและเซนติเมตรและ มิลลิเมตร เมตรและเซนติเมตร
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,2,การวัดและเรขาคณิต,ค 2,ค 2.1,2.1 เข้าใจพื้นฐานเกี่ยวกับการวัด วัดและคาดคะเนขนาดของสิ่งที่ต้องการวัด และนําไปใช้,6,ค 2.1 ป.3/4,คาดคะเนความยาวเป็นเมตรและเป็นเซนติเมตร,ค 2.1 ป.3/6,แสดงวิธีหาคําตอบ ของโจทย์ปัญหาเกี่ยวกับความยาว ที่มีหน่วยเป็นเซนติเมตรและ มิลลิเมตร เมตรและเซนติเมตรและ มิลลิเมตร เมตรและเซนติเมตร
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,2,การวัดและเรขาคณิต,ค 2,ค 2.1,2.1 เข้าใจพื้นฐานเกี่ยวกับการวัด วัดและคาดคะเนขนาดของสิ่งที่ต้องการวัด และนําไปใช้,6,ค 2.1 ป.3/5,เปรียบเทียบความยาวระหว่างเซนติเมตรกับ มิลลิเมตร เมตรกับเซนติเมตร กิโลเมตรกับเมตร จาก สถานการณ์ต่าง ๆ,ค 2.1 ป.3/6,แสดงวิธีหาคําตอบ ของโจทย์ปัญหาเกี่ยวกับความยาว ที่มีหน่วยเป็นเซนติเมตรและ มิลลิเมตร เมตรและเซนติเมตรและ มิลลิเมตร เมตรและเซนติเมตร
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,2,การวัดและเรขาคณิต,ค 2,ค 2.1,2.1 เข้าใจพื้นฐานเกี่ยวกับการวัด วัดและคาดคะเนขนาดของสิ่งที่ต้องการวัด และนําไปใช้,7,ค 2.1 ป.3/7,เลือกใช้เครื่องชั่งที่เหมาะะสม วัดและบอก น้ําหนักเป็นกิโลกรัมและขีด กิโลกรัมและกรัม,ค 2.1 ป.3/10,แสดงวิธีหาคําตอบของโจทย์ปัญหาเกี่ยวกับน้ําหนักที่มีหน่วยเป็นกิโลกรัมกับกรัมเมตริกตันกับกิโลกรัม
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,2,การวัดและเรขาคณิต,ค 2,ค 2.1,2.1 เข้าใจพื้นฐานเกี่ยวกับการวัด วัดและคาดคะเนขนาดของสิ่งที่ต้องการวัด และนําไปใช้,7,ค 2.1 ป.3/8,คาดคะเนน้ําหนักเป็นกิโลกรัมและเป็นขีด,ค 2.1 ป.3/10,แสดงวิธีหาคําตอบของโจทย์ปัญหาเกี่ยวกับน้ําหนักที่มีหน่วยเป็นกิโลกรัมกับกรัมเมตริกตันกับกิโลกรัม
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,2,การวัดและเรขาคณิต,ค 2,ค 2.1,2.1 เข้าใจพื้นฐานเกี่ยวกับการวัด วัดและคาดคะเนขนาดของสิ่งที่ต้องการวัด และนําไปใช้,7,ค 2.1 ป.3/9,เปรียบเทียบน้ําหนักระหว่างกิโลกรัมกับกรัม เมตริกตันกับกิโลกรัม จากสถานการณ์ต่าง ๆ,ค 2.1 ป.3/10,แสดงวิธีหาคําตอบของโจทย์ปัญหาเกี่ยวกับน้ําหนักที่มีหน่วยเป็นกิโลกรัมกับกรัมเมตริกตันกับกิโลกรัม
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้คณิตศาสตร์ ,2,การวัดและเรขาคณิต,ค 2,ค 2.1,2.1 เข้าใจพื้นฐานเกี่ยวกับการวัด วัดและคาดคะเนขนาดของสิ่งที่ต้องการวัด และนําไปใช้,8,ค 2.1 ป.3/11,เลือกใช้เครื่องตวงที่เหมาะะสม วัดและ เปรียบเทียบปริมาตร ความจุเป็นลิตรและมิลลิลิตร,ค 2.1 ป.3/13,แสดงวิธีหาคําตอบของโจทย์ปัญหาเกี่ยวกับปริมาตรและความจุที่มีหน่วยเป็นลิตรและมิลลิลิตร
