เลขกลุ่มสาระ, ชื่อกลุ่มสาระ, เลขสาระ,ชื่อสาระ,หมวดมาตรฐาน,เลขมาตรฐาน,ชื่อมาตรฐาน,กลุ่มที่, เลขตัวชี้วัดระหว่างทาง, รายละเอียดตัวชี้วัดนะหว่างทาง,เลขตัวชี้วัดปลายทาง,รายละเอียดตัวชี้วัดปลายทาง
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้สังคมศึกษา ศาสนาและวัฒนธรรม,1,ศาสนา ศีลธรรม จริยธรรม,ส 1,ส 1.1,1.1 รู้และเข้าใจประวัติ ความสำคัญ ศาสดา หลักธรรมของพระพุทธศาสนาหรือศาสนาที่ตนนับถือ และศาสนาอื่น มีศรัทธาที่ถูกต้อง ยึดมั่น และปฏิบัติตามหลักธรรม เพื่ออยู่ร่วมกันอย่างสันติสุข,1,ส 1.1 ป.1/1 ,บอกพุทธประวัติ หรือประวัติของศาสดา ที่ตนนับถือโดยสังเขป,ส 1.1 ป.1/3,บอกความหมาย ความสําคัญ และเคารพพระรัตนตรัย ปฏิบัติตามหลักธรรมโอวาท 3 ในพระพุทธศาสนาหรือหลักธรรม ของศาสนาที่ตนนับถือตามที่กําหนด
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้สังคมศึกษา ศาสนาและวัฒนธรรม,1,ศาสนา ศีลธรรม จริยธรรม,ส 1,ส 1.1,1.1 รู้และเข้าใจประวัติ ความสำคัญ ศาสดา หลักธรรมของพระพุทธศาสนาหรือศาสนาที่ตนนับถือ และศาสนาอื่น มีศรัทธาที่ถูกต้อง ยึดมั่น และปฏิบัติตามหลักธรรม เพื่ออยู่ร่วมกันอย่างสันติสุข,1,ส 1.1 ป.1/2,ชื่นชมและบอกแบบอย่างการดําเนินชีวิตและ ข้อคิดจากประวัติสาวก ชาดก/เรื่องเล่าและศาสนิกชนตัวอย่าง ตามที่กําหนด,ส 1.1 ป.1/3,บอกความหมาย ความสําคัญ และเคารพพระรัตนตรัย ปฏิบัติตามหลักธรรมโอวาท 3 ในพระพุทธศาสนาหรือหลักธรรม ของศาสนาที่ตนนับถือตามที่กําหนด
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้สังคมศึกษา ศาสนาและวัฒนธรรม,1,ศาสนา ศีลธรรม จริยธรรม,ส 1,ส 1.1,1.1 รู้และเข้าใจประวัติ ความสำคัญ ศาสดา หลักธรรมของพระพุทธศาสนาหรือศาสนาที่ตนนับถือ และศาสนาอื่น มีศรัทธาที่ถูกต้อง ยึดมั่น และปฏิบัติตามหลักธรรม เพื่ออยู่ร่วมกันอย่างสันติสุข,1,ส 1.1 ป.1/4,เห็นคุณค่าและสวดมนต์ แผ่เมตตา มีสติ ที่เป็นพื้นฐานของสมาธิในพระพุทธศาสนา หรือการพัฒนาจิต ตามแนวทางของศาสนาที่ตนนับถือตามที่กําหนด,ส 1.1 ป.1/3,บอกความหมาย ความสําคัญ และเคารพพระรัตนตรัย ปฏิบัติตามหลักธรรมโอวาท 3 ในพระพุทธศาสนาหรือหลักธรรม ของศาสนาที่ตนนับถือตามที่กําหนด
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้สังคมศึกษา ศาสนาและวัฒนธรรม,1,ศาสนา ศีลธรรม จริยธรรม,ส 1,ส 1.2,1.2 เข้าใจ ตระหนักและปฏิบัติตนเป็นศากชนที่ดี และธํารงรักษาพระพุทธศาสนาหรือศาสนา ที่ตนนับ,2,ส 1.2 ป.1/1,บําเพ็ญประโยชน์ต่อวัด หรือศาสนสถานของ ศาสนาที่ตนนับถือ,ส 1.2 ป.1/3,ปฏิบัติตนในศาสนพิธี พิธีกรรม และวันสําคัญทางศาสนาตามที่กําหนดได้ถูกต้อง
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้สังคมศึกษา ศาสนาและวัฒนธรรม,1,ศาสนา ศีลธรรม จริยธรรม,ส 1,ส 1.2,1.2 เข้าใจ ตระหนักและปฏิบัติตนเป็นศากชนที่ดี และธํารงรักษาพระพุทธศาสนาหรือศาสนา ที่ตนนับ,2,ส 1.2 ป.1/2,แสดงตนเป็นพุทธมามกะ หรือแสดงตนเป็นศาสนิกชนของศาสนาที่ตนนับถือ,ส 1.2 ป.1/3,ปฏิบัติตนในศาสนพิธี พิธีกรรม และวันสําคัญทางศาสนาตามที่กําหนดได้ถูกต้อง
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้สังคมศึกษา ศาสนาและวัฒนธรรม,2,หน้าที่พลเมือง วัฒนธรรม และการดําเนินชีวิตในสังคม,ส 2,ส 2.1,2.1 เข้าใจและปฏิบัติตนตามหน้าที่ของการเป็นพลเมืองดี มีค่านิยมที่ดีงาม และธํารงรักษา ประเพณีและวัฒนธรรมไทย ดำรงชีวิตอยู่ร่วมกันในสังคมไทย และสังคมโลกอย่างสันติสุข,3,ส 2.1 ป.1/1,บอกประโยชน์และปฏิบัติตนเป็นสมาชิกที่ดีของ ครอบครัวและโรงเรียน,ส 2.1 ป.1/3,มีส่วนร่วมในการตัดสินใจและทํากิจกรรมในครอบครัวและโรงเรียนตามกระบวนการประชาธิปไตย
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้สังคมศึกษา ศาสนาและวัฒนธรรม,2,หน้าที่พลเมือง วัฒนธรรม และการดําเนินชีวิตในสังคม,ส 2,ส 2.2,2.2 เข้าใจระบบการเมืองการปกครองในสังคมปัจจุบัน ยึดมั่น ศรัทธา และธํารงรักษาไว้ซึ่ง การปกครองระบอบประชาธิปไตยอันมีพระมหากษัตริย์ทรงเป็นประมุข,3,ส 2.1 ป.1/2,ยกตัวอย่างความสามารถและความดีของตนเองผู้อื่นและบอกผลจากการกระทํานั้น,ส 2.1 ป.1/3,มีส่วนร่วมในการตัดสินใจและทํากิจกรรมในครอบครัวและโรงเรียนตามกระบวนการประชาธิปไตย
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้สังคมศึกษา ศาสนาและวัฒนธรรม,2,หน้าที่พลเมือง วัฒนธรรม และการดําเนินชีวิตในสังคม,ส 2,ส 2.2,2.2 เข้าใจระบบการเมืองการปกครองในสังคมปัจจุบัน ยึดมั่น ศรัทธา และธํารงรักษาไว้ซึ่ง การปกครองระบอบประชาธิปไตยอันมีพระมหากษัตริย์ทรงเป็นประมุข,3,ส 2.2 ป.1/1 ,บอกโครงสร้าง บทบาท และหน้าที่ของสมาชิก ในครอบครัวและโรงเรียน,ส 2.1 ป.1/3,มีส่วนร่วมในการตัดสินใจและทํากิจกรรมในครอบครัวและโรงเรียนตามกระบวนการประชาธิปไตย
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้สังคมศึกษา ศาสนาและวัฒนธรรม,2,หน้าที่พลเมือง วัฒนธรรม และการดําเนินชีวิตในสังคม,ส 2,ส 2.2,2.2 เข้าใจระบบการเมืองการปกครองในสังคมปัจจุบัน ยึดมั่น ศรัทธา และธํารงรักษาไว้ซึ่ง การปกครองระบอบประชาธิปไตยอันมีพระมหากษัตริย์ทรงเป็นประมุข,3,ส 2.2 ป.1/2,"ระบุบทบาท สิทธิหน้าที่ของตนเองในครอบครัว
และโรงเรียน",ส 2.1 ป.1/3,มีส่วนร่วมในการตัดสินใจและทํากิจกรรมในครอบครัวและโรงเรียนตามกระบวนการประชาธิปไตย
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้สังคมศึกษา ศาสนาและวัฒนธรรม,3,เศรษฐศาสตร์,ส 3,ส 3.1,3.1 เข้าใจและสามารถบริหารจัดการทรัพยากรในการผลิตและการบริโภค การใช้ทรัพยากร ที่มีอยู่จํากัดได้อย่างมีประสิทธิภาพและคุ้มค่า รวมทั้งเข้าใจหลักการของเศรษฐกิจพอเพียง เพื่อการดำรงชีวิตอย่างมีดุลยภาพ,4,ส 3.1 ป.1/1 ,ระบุสินค้า และบริการที่ใช้ประโยชน์ ในชีวิตประจําวัน,ส 3.1 ป.1/2,ยกตัวอย่างการใช้จ่ายเงินในชีวิตประจําวันที่ไม่เกินตัวและเห็นประโยชน์ของการออม
