เลขกลุ่มสาระ, ชื่อกลุ่มสาระ, เลขสาระ,ชื่อสาระ,หมวดมาตรฐาน,เลขมาตรฐาน,ชื่อมาตรฐาน,กลุ่มที่, เลขตัวชี้วัดระหว่างทาง, รายละเอียดตัวชี้วัดนะหว่างทาง,เลขตัวชี้วัดปลายทาง,รายละเอียดตัวชี้วัดปลายทาง
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้การงานอาชีพ,1,การดํารงชีวิตและครอบครัว,ง 1,ง 1.1,1.1 เข้าใจการทํางาน มีความคิดสร้างสรรค์ มีทักษะกระบวนการทํางาน ทักษะการจัดการ ทักษะกระบวนการแก้ปัญหา ทักษะการทํางานร่วมกัน และทักษะการแสวงหาความรู้ มีคุณธรรม และลักษณะนิสัยในการทํางาน มีจิตสํานึกในการใช้พลังงาน ทรัพยากร และสิ่งแวดล้อม เพื่อการดํารงชีวิตและครอบครัว,1,ง 1.1 ป.1/1 ,บอกวิธีการทํางานเพื่อช่วยเหลือตนเอง,ง 1.1 ป.1/3,ทํางานเพื่อช่วยเหลือตนเองอย่างกระตือรือร้นและตรงเวลา
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้การงานอาชีพ,1,การดํารงชีวิตและครอบครัว,ง 1,ง 1.1,1.1 เข้าใจการทํางาน มีความคิดสร้างสรรค์ มีทักษะกระบวนการทํางาน ทักษะการจัดการ ทักษะกระบวนการแก้ปัญหา ทักษะการทํางานร่วมกัน และทักษะการแสวงหาความรู้ มีคุณธรรม และลักษณะนิสัยในการทํางาน มีจิตสํานึกในการใช้พลังงาน ทรัพยากร และสิ่งแวดล้อม เพื่อการดํารงชีวิตและครอบครัว,1,ง 1.1 ป.1/2,ใช้วัสดุ อุปกรณ์ และเครื่องมือง่าย ๆ ในการ ทํางานอย่างปลอดภัย,ง 1.1 ป.1/3,ทํางานเพื่อช่วยเหลือตนเองอย่างกระตือรือร้นและตรงเวลา
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้การงานอาชีพ,1,การดํารงชีวิตและครอบครัว,ง 1,ง 1.1,1.1 เข้าใจการทํางาน มีความคิดสร้างสรรค์ มีทักษะกระบวนการทํางาน ทักษะการจัดการ ทักษะกระบวนการแก้ปัญหา ทักษะการทํางานร่วมกัน และทักษะการแสวงหาความรู้ มีคุณธรรม และลักษณะนิสัยในการทํางาน มีจิตสํานึกในการใช้พลังงาน ทรัพยากร และสิ่งแวดล้อม เพื่อการดํารงชีวิตและครอบครัว,1,ง 1.1 ป.2/1 ,บอกวิธีการและประโยชน์การทํางานเพื่อช่วยเหลือตนเองและครอบครัว,ง 1.1 ป.2/2,ใช้วัสดุ อุปกรณ์ และเครื่องมือ ในการทํางาน อย่างเหมาะสมกับงาน และประหยัด
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้การงานอาชีพ,1,การดํารงชีวิตและครอบครัว,ง 1,ง 1.1,1.1 เข้าใจการทํางาน มีความคิดสร้างสรรค์ มีทักษะกระบวนการทํางาน ทักษะการจัดการ ทักษะกระบวนการแก้ปัญหา ทักษะการทํางานร่วมกัน และทักษะการแสวงหาความรู้ มีคุณธรรม และลักษณะนิสัยในการทํางาน มีจิตสํานึกในการใช้พลังงาน ทรัพยากร และสิ่งแวดล้อม เพื่อการดํารงชีวิตและครอบครัว,1,ง 1.1 ป.2/3,ทํางานเพื่อช่วยเหลือตนเองและครอบครัวอย่างปลอดภัย,ง 1.1 ป.2/2,ใช้วัสดุ อุปกรณ์ และเครื่องมือ ในการทํางาน อย่างเหมาะสมกับงาน และประหยัด
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้การงานอาชีพ,1,การดํารงชีวิตและครอบครัว,ง 1,ง 1.1,1.1 เข้าใจการทํางาน มีความคิดสร้างสรรค์ มีทักษะกระบวนการทํางาน ทักษะการจัดการ ทักษะกระบวนการแก้ปัญหา ทักษะการทํางานร่วมกัน และทักษะการแสวงหาความรู้ มีคุณธรรม และลักษณะนิสัยในการทํางาน มีจิตสํานึกในการใช้พลังงาน ทรัพยากร และสิ่งแวดล้อม เพื่อการดํารงชีวิตและครอบครัว,1,ง 1.1 ป.3/1 ,อธิบายวิธีการและประโยชน์การทํางาน เพื่อช่วยเหลือตนเอง ครอบครัว และส่วนรวม,ง 1.1 ป.3/3,ทํางานอย่างเป็น ขั้นตอนตามกระบวนการทํางาน ด้วยความสะอาด ความรอบคอบ และอนุรักษ์สิ่งแวดล้อม
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้การงานอาชีพ,1,การดํารงชีวิตและครอบครัว,ง 1,ง 1.1,1.1 เข้าใจการทํางาน มีความคิดสร้างสรรค์ มีทักษะกระบวนการทํางาน ทักษะการจัดการ ทักษะกระบวนการแก้ปัญหา ทักษะการทํางานร่วมกัน และทักษะการแสวงหาความรู้ มีคุณธรรม และลักษณะนิสัยในการทํางาน มีจิตสํานึกในการใช้พลังงาน ทรัพยากร และสิ่งแวดล้อม เพื่อการดํารงชีวิตและครอบครัว,1,ง 1.1 ป.3/2,ใช้วัสดุ อุปกรณ์ และเครื่องมือ ใตรงกับลักษณะงาน ,ง 1.1 ป.3/3,ทํางานอย่างเป็น ขั้นตอนตามกระบวนการทํางาน ด้วยความสะอาด ความรอบคอบ และอนุรักษ์สิ่งแวดล้อม
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้การงานอาชีพ,1,การดํารงชีวิตและครอบครัว,ง 1,ง 1.1,1.1 เข้าใจการทํางาน มีความคิดสร้างสรรค์ มีทักษะกระบวนการทํางาน ทักษะการจัดการ ทักษะกระบวนการแก้ปัญหา ทักษะการทํางานร่วมกัน และทักษะการแสวงหาความรู้ มีคุณธรรม และลักษณะนิสัยในการทํางาน มีจิตสํานึกในการใช้พลังงาน ทรัพยากร และสิ่งแวดล้อม เพื่อการดํารงชีวิตและครอบครัว,1,ง 1.1 ป.4/1 ,อธิบายเหตุผลในการทํางานให้บรรลุเป้าหมาย,ง 1.1 ป.4/2,ทํางานบรรลุ เป้าหมายที่วางไว้ อย่างเป็นขั้นตอน ด้วยความขยัน อดทน รับผิดชอบ และซื่อสัตย์
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้การงานอาชีพ,1,การดํารงชีวิตและครอบครัว,ง 1,ง 1.1,1.1 เข้าใจการทํางาน มีความคิดสร้างสรรค์ มีทักษะกระบวนการทํางาน ทักษะการจัดการ ทักษะกระบวนการแก้ปัญหา ทักษะการทํางานร่วมกัน และทักษะการแสวงหาความรู้ มีคุณธรรม และลักษณะนิสัยในการทํางาน มีจิตสํานึกในการใช้พลังงาน ทรัพยากร และสิ่งแวดล้อม เพื่อการดํารงชีวิตและครอบครัว,1,ง 1.1 ป.4/3,ปฏิบัติตนอย่างมีมารยาท ในการทํางาน,ง 1.1 ป.4/4,ใช้พลังงานและ ทรัพยากรในการทํางานอย่าง ประหยัด และคุ้มค่า
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้การงานอาชีพ,2,การอาชีพ,ง 2,ง 2.1,2.1 เข้าใจ มีทักษะที่จําเป็น มีประสบการณ์ เห็นแนวทางในงานอาชีพ ใช้เทคโนโลยี เพื่อพัฒนาอาชีพ มีคุณธรรม และมีเจตคติที่ดีต่ออาชีพ,2,-,-,ง 2.1 ป.4/1,อธิบายความหมายและความสําคัญของอาชีพ
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้การงานอาชีพ,1,การดํารงชีวิตและครอบครัว,ง 1,ง 1.1,1.1 เข้าใจการทํางาน มีความคิดสร้างสรรค์ มีทักษะกระบวนการทํางาน ทักษะการจัดการ ทักษะกระบวนการแก้ปัญหา ทักษะการทํางานร่วมกัน และทักษะการแสวงหาความรู้ มีคุณธรรม และลักษณะนิสัยในการทํางาน มีจิตสํานึกในการใช้พลังงาน ทรัพยากร และสิ่งแวดล้อม เพื่อการดํารงชีวิตและครอบครัว,1,ง 1.1 ป.5/1 ,อธิบายเหตุผลในการทํางานแต่ละขั้นตอนถูกต้องตามกระบวนการทํางาน,ง 1.1 ป.5/2,ใช้ทักษะการจัดการ ในการทํางานอย่างเป็นระบบ ประณีต และมีความคิดสร้างสรรค์
