เลขกลุ่มสาระ, ชื่อกลุ่มสาระ, เลขสาระ,ชื่อสาระ,หมวดมาตรฐาน,เลขมาตรฐาน,ชื่อมาตรฐาน,กลุ่มที่, เลขตัวชี้วัดระหว่างทาง, รายละเอียดตัวชี้วัดนะหว่างทาง,เลขตัวชี้วัดปลายทาง,รายละเอียดตัวชี้วัดปลายทาง
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี,1,วิทยาศาสตร์ชีวภาพ,ว 1,ว 1.1,1.1 เข้าใจความหลากหลายของระบบนิเวศ ความสัมพันธ์ระหว่างสิ่งไม่มีชีวิตกับสิ่งมีชีวิต และความสัมพันธ์ระหว่างสิ่งมีชีวิตกับสิ่งมีชีวิตต่าง ๆ ในระบบนิเวศ การถ่ายทอดพลังงาน การเปลี่ยนแปลงแทนที่ในระบบนิเวศ ความหมายของประชากร ปัญหาและผลกระทบที่มีต่อ ทรัพยากรธรรมชาติและสิ่งแวดล้อม แนวทางในการอนุรักษ์ทรัพยากรธรรมชาติและการแก้ไข ปัญหาสิ่งแวดล้อมรวมทั้งนําความรู้ไปใช้ประโยชน์,1,ว 1.1 ป.1/1 ,ระบุชื่อพืชและสัตว์ที่อาศัยอยู่บริเวณต่าง ๆ จากข้อมูลที่รวบรวมได้,ว 1.1 ป.1/2,บอกสภาพแวดล้อม ที่เหมาะสมกับการดํารงชีวิตของ สัตว์ในบริเวณที่อาศัยอยู่
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี,1,วิทยาศาสตร์ชีวภาพ,ว 1,ว 1.2,1.2 เข้าใจสมบัติของสิ่งมีชีวิต หน่วยพื้นฐานของสิ่งมีชีวิต การลําเลียงสารเข้าและออกจากเซลล์ ความสัมพันธ์ของโครงสร้างและหน้าที่ของระบบต่าง ๆ ของสัตว์และมนุษย์ที่ทำงานสัมพันธ์กัน ความสัมพันธ์ของโครงสร้างและหน้าที่ของอวัยวะต่าง ๆ ของพืชที่ทำางานสัมพันธ์กัน รวมทั้ง นําความรู้ไปใช้ประโยชน์,2,ว 1.2 ป.1/1 ,ระบุชื่อ บรรยายลักษณะและบอกหน้าที่ของ ส่วนต่าง ๆ ของร่างกายมนุษย์ สัตว์ และพืชรวมทั้งบรรยาย การทําหน้าที่ร่วมกันของส่วนต่าง ๆ ของร่างกายมนุษย์ในการ ทํากิจกรรมต่าง ๆ จากข้อมูลที่รวบรวมได้,ว 1.2 ป.1/2,ตระหนักถึง ความสําคัญของส่วนต่าง ๆ ของ ร่างกายตนเอง โดยการดูแล ส่วนต่าง ๆ อย่างถูกต้องให้ปลอดภัย และรักษาความสะอาดอยู่เสมอ
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี,2,วิทยาศาสตร์กายภาพ,ว 2,ว 2.1,2.1 เข้าใจสมบัติของสสาร องค์ประกอบของสสาร ความสัมพันธ์ระหว่างสมบัติของสสารกับ โครงสร้างและแรงยึดเหนี่ยวระหว่างอนุภาค หลักและธรรมชาติของการเปลี่ยนแปลงสถานะ ของสสาร การเกิดสารละลาย และการเกิดปฏิกิริยาเคมี,3,ว 2.1 ป.1/1,อธิบายสมบัติที่สังเกตได้ของวัสดุที่ใช้ทําวัตถุ ซึ่งทําจากวัสดุชนิดเดียวหรือหลายชนิดประกอบกันโดยใช้ หลักฐานเชิงประจักษ์,ว 2.1 ป.1/2 ,ระบุชนิดของวัสดุ และจัดกลุ่มวัสดุตามสมบัติ ที่สังเกตได้
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี,2,วิทยาศาสตร์กายภาพ,ว 3,ว 3.2,3.2 เข้าใจองค์ประกอบและความสัมพันธ์ของระบบโลก กระบวนการเปลี่ยนแปลงภายในโลก และบนผิวโลก ธรณีพิบัติภัย กระบวนการเปลี่ยนแปลงลมฟ้าอากาศและภูมิอากาศโลก รวมทั้งผลต่อสิ่งมีชีวิตและสิ่งแวดล้อม,3,ว 3.2 ป.1/1 ,อธิบายลักษณะภายนอกของหินจากลักษณะ เฉพาะตัวที่สังเกตได้,ว 2.1 ป.1/2 ,ระบุชนิดของวัสดุ และจัดกลุ่มวัสดุตามสมบัติ ที่สังเกตได้
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี,2,วิทยาศาสตร์กายภาพ,ว 2,ว 2.3,2.3 เข้าใจความหมายของพลังงาน การเปลี่ยนแปลงและการถ่ายโอนพลังงาน ปฏิสัมพันธ์ระหว่าง สสารและพลังงาน พลังงานในชีวิตประจําวัน ธรรมชาติของคลื่น ปรากฏการณ์ที่เกี่ยวข้องกับ เสียง แสง และคลื่นแม่เหล็กไฟฟ้า รวมทั้งนําความรู้ไปใช้ประโยชน์,4,-,-,ว 2.3 ป.1/1 ,บรรยายการเกิดเสียง และทิศทางการเคลื่อนที่ของเสียง จากหลักฐานเชิงประจักษ์
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี,3,วิทยาศาสตร์โลก และอวกาศ,ว 3,ว 3.1,3.1 เข้าใจองค์ประกอบ ลักษณะ กระบวนการเกิด และวิวัฒนาการของเอกภพ กาแล็กซี ดาวฤกษ์ และระบบสุริยะ รวมทั้งปฏิสัมพันธ์ภายในระบบสุริยะที่ส่งผลต่อสิ่งมีชีวิต และการประยุกต์ใช้เทคโนโลยีอวกาศ,5,ว 3.1 ป.1/1,ระบุดาวที่ปรากฏบนท้องฟ้าในเวลากลางวัน และกลางคืน จากข้อมูลที่รวบรวมได้,ว 3.1 ป.1/2 ,อธิบายสาเหตุที่มอง ไม่เห็นดาวส่วนใหญ่ในเวลา กลางวันจากหลักฐานเชิงประจักษ์
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี,4,เทคโนโลยี,ว 4,ว 4.2,4.2 เข้าใจและใช้แนวคิดเชิงคํานวณในการแก้ปัญหาที่พบในชีวิตจริงอย่างเป็นขั้นตอนและเป็นระบบ ใช้เทคโนโลยีสารสนเทศและการสื่อสารในการเรียนรู้ การทํางาน และการแก้ปัญหาได้ อย่างมีประสิทธิภาพ รู้เท่าทัน และมีจริยธรรม,6,ว 4.2 ป.1/3 ,เขียนโปรแกรมอย่างง่าย โดยใช้ซอฟต์แวร์ หรือสื่อ,ว 4.2 ป.1/1 ,แก้ปัญหาอย่างง่าย โดยใช้การลองผิดลองถูก การเปรียบเทียบ
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี,4,เทคโนโลยี,ว 4,ว 4.2,4.2 เข้าใจและใช้แนวคิดเชิงคํานวณในการแก้ปัญหาที่พบในชีวิตจริงอย่างเป็นขั้นตอนและเป็นระบบ ใช้เทคโนโลยีสารสนเทศและการสื่อสารในการเรียนรู้ การทํางาน และการแก้ปัญหาได้ อย่างมีประสิทธิภาพ รู้เท่าทัน และมีจริยธรรม,6,ว 4.2 ป.1/3 ,เขียนโปรแกรมอย่างง่าย โดยใช้ซอฟต์แวร์ หรือสื่อ,ว 4.2 ป.1/2 ,แสดงลําดับขั้นตอน การทํางานหรือการแก้ปัญหา อย่างง่ายโดยใช้ภาพ สัญลักษณ์ หรือข้อความ
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี,4,เทคโนโลยี,ว 4,ว 4.2,4.2 เข้าใจและใช้แนวคิดเชิงคํานวณในการแก้ปัญหาที่พบในชีวิตจริงอย่างเป็นขั้นตอนและเป็นระบบ ใช้เทคโนโลยีสารสนเทศและการสื่อสารในการเรียนรู้ การทํางาน และการแก้ปัญหาได้ อย่างมีประสิทธิภาพ รู้เท่าทัน และมีจริยธรรม,7,-,-,ว 4.2 ป.1/4 ,ใช้เทคโนโลยีในการ สร้าง จัดเก็บ เรียกใช้ข้อมูล ตามวัตถุประสงค์
เลขกลุ่มสาระ,กลุ่มสาระการเรียนรู้วิทยาศาสตร์และเทคโนโลยี,4,เทคโนโลยี,ว 4,ว 4.2,4.2 เข้าใจและใช้แนวคิดเชิงคํานวณในการแก้ปัญหาที่พบในชีวิตจริงอย่างเป็นขั้นตอนและเป็นระบบ ใช้เทคโนโลยีสารสนเทศและการสื่อสารในการเรียนรู้ การทํางาน และการแก้ปัญหาได้ อย่างมีประสิทธิภาพ รู้เท่าทัน และมีจริยธรรม,7,-,-,ว 4.2 ป.1/5, ใช้เทคโนโลยี สารสนเทศอย่างปลอดภัย ปฏิบัติ ตามข้อตกลงในการใช้คอมพิวเตอร์ ร่วมกัน ดูแลรักษาอุปกรณ์เบื้องต้น ใช้งานอย่างเหมาะสม
